HP:0000002	Abnormality of body height	身高异常
HP:0000003	Multicystic kidney dysplasia	多囊性肾发育不良
HP:0000005	Mode of inheritance	遗传模式
HP:0000006	Autosomal dominant inheritance	常染色体显性遗传
HP:0000007	Autosomal recessive inheritance	常染色体隐性遗传
HP:0000008	Abnormality of female internal genitalia	女性内生殖器异常
HP:0000009	Functional abnormality of the bladder	膀胱功能异常
HP:0000010	Recurrent urinary tract infections	复发性尿路感染
HP:0000011	Neurogenic bladder	神经源性膀胱功能障碍
HP:0000012	Urinary urgency	尿急
HP:0000013	Hypoplasia of the uterus	子宫发育不良
HP:0000014	Abnormality of the bladder	膀胱异常
HP:0000015	Bladder diverticulum	膀胱憩室
HP:0000016	Urinary retention	尿潴留
HP:0000017	Nocturia	夜尿症
HP:0000019	Urinary hesitancy	排尿踌躇
HP:0000020	Urinary incontinence	尿失禁
HP:0000021	Megacystis	巨膀胱症
HP:0000022	Abnormality of male internal genitalia	男性内生殖器异常
HP:0000023	Inguinal hernia	腹股沟疝
HP:0000024	Prostatitis	前列腺炎
HP:0000025	Functional abnormality of male internal genitalia	男性内生殖器功能异常
HP:0000026	Male hypogonadism	男性性腺功能减退症
HP:0000027	Azoospermia	无精症
HP:0000028	Cryptorchidism	隐睾
HP:0000029	Testicular atrophy	睾丸萎缩
HP:0000030	Testicular gonadoblastoma	睾丸性腺母细胞瘤
HP:0000031	Epididymitis	附睾炎
HP:0000032	Abnormality of male external genitalia	男性外生殖器异常
HP:0000033	Ambiguous genitalia, male	男性外阴性别不明
HP:0000034	Hydrocele testis	睾丸鞘膜积液
HP:0000035	Abnormality of the testis	睾丸异常
HP:0000036	Abnormality of the penis	阴茎异常
HP:0000037	Male pseudohermaphroditism	男性假两性畸形
HP:0000039	Epispadias	尿道上裂
HP:0000040	Enlarged penis	阴茎增大
HP:0000041	Chordee	阴茎下曲
HP:0000042	Absent external genitalia	外生殖器缺如
HP:0000044	Hypogonadotrophic hypogonadism	低促性腺激素性性腺功能减退症
HP:0000045	Abnormality of the scrotum	阴囊异常
HP:0000046	Scrotal hypoplasia	阴囊发育不良
HP:0000047	Hypospadias	尿道下裂
HP:0000048	Bifid scrotum	阴囊对裂
HP:0000049	Shawl scrotum	披肩状阴囊
HP:0000050	Hypoplastic male external genitalia	男性外生殖器发育不良
HP:0000051	Perineal hypospadias	会阴型尿道下裂
HP:0000052	Urethral atresia, male	男性尿道闭锁
HP:0000053	Macroorchidism	巨睾
HP:0000054	Micropenis	小阴茎
HP:0000055	Abnormality of female external genitalia	女性外生殖器异常
HP:0000056	Abnormality of the clitoris	阴蒂异常
HP:0000057	Clitoromegaly	阴蒂肥大
HP:0000058	Abnormality of the labia	阴唇异常
HP:0000059	Hypoplastic labia majora	大阴唇发育不良
HP:0000060	Clitoral hypoplasia	阴蒂发育不良
HP:0000061	Ambiguous genitalia, female	女性外阴性别不明
HP:0000062	Ambiguous genitalia	外阴性别不明
HP:0000063	Fused labia minora	小阴唇融合
HP:0000064	Hypoplastic labia minora	小阴唇发育不良
HP:0000065	Labial hypertrophy	阴唇肥厚
HP:0000066	Labial hypoplasia	阴唇发育不良
HP:0000067	Urethral atresia, female	女性尿道闭锁
HP:0000068	Urethral atresia	尿道闭锁
HP:0000069	Abnormality of the ureter	输尿管异常
