HP:0000002	Abnormality of body height	身高异常	身高偏离该年龄性别预期身高的正常范围。	Deviation from the norm of height with respect to that which is expected according to age and gender norms.
HP:0000003	Multicystic kidney dysplasia	多囊性肾发育不良	多囊性肾发育不良的特点是：肾脏有大小不一的肾囊肿，缺乏正常肾盂肾盏系统。这种状态伴发输尿管或肾盂输尿管闭锁，受累肾脏无功能。	Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvocaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.
HP:0000005	Mode of inheritance	遗传模式	#####	The pattern in which a particular genetic trait or disorder is passed from one generation to the next.
HP:0000006	Autosomal dominant inheritance	常染色体显性遗传	#####	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.
HP:0000007	Autosomal recessive inheritance	常染色体隐性遗传	#####	A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in homozygotes. In the context of medical genetics, autosomal recessive disorders manifest in homozygotes (with two copies of the mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).
HP:0000008	Abnormality of female internal genitalia	女性内生殖器异常	女性内生殖器（FMA：45654）的异常。	An abnormality of the `female internal genitalia` (FMA:45654).
HP:0000009	Functional abnormality of the bladder	膀胱功能异常	膀胱（FMA：15900）的功能异常。	`Dysfunction` (PATO:0001641) of the `urinary bladder` (FMA:15900).
HP:0000010	Recurrent urinary tract infections	复发性尿路感染	尿路反复感染。	Repeated infections of the urinary tract.
HP:0000011	Neurogenic bladder	神经源性膀胱功能障碍	由于神经系统疾患导致排尿过程中无法完全排空膀胱（FMA：15900）。	An inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073) owing to a neurological condition.
HP:0000012	Urinary urgency	尿急	突然的强烈排尿感导致急迫性尿失禁。	Urge incontinence is the strong, sudden need to urinate.
HP:0000013	Hypoplasia of the uterus	子宫发育不良	子宫（FMA：17558）发育低下。	Underdevelopment of the `uterus` (FMA:17558).
HP:0000014	Abnormality of the bladder	膀胱异常	发生在膀胱（FMA：15900）的异常。	An abnormality of the `urinary bladder` (FMA:15900).
HP:0000015	Bladder diverticulum	膀胱憩室	膀胱壁（FMA：15902）上存在憩室（MPATH：68）。	`Diverticulum` (MPATH:68) (sac or pouch) in the `wall of the urinary bladder` (FMA:15902).
HP:0000016	Urinary retention	尿潴留	排尿过程中无法完全排空膀胱（FMA：15900）。	Inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073).
HP:0000017	Nocturia	夜尿症	夜间尿量异常增多导致异乎寻常的频繁排尿。	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.
HP:0000019	Urinary hesitancy	排尿踌躇	排尿（GO：0060073）开始时不畅。	Difficulty in beginning the process of `urination` (GO:0060073).
HP:0000020	Urinary incontinence	尿失禁	膀胱（FMA：15900）控制能力丧失，导致非自主性排尿（GO：0060073）。	Loss of the ability to control the `urinary bladder` (FMA:15900) leading to involuntary `urination` (GO:0060073).
HP:0000021	Megacystis	巨膀胱症	出生后膀胱扩张。	Dilatation of the bladder postnatally.
HP:0000022	Abnormality of male internal genitalia	男性内生殖器异常	男性内生殖器（FMA：45655）的异常。	An abnormality of the `male internal genitalia` (FMA:45655).
HP:0000023	Inguinal hernia	腹股沟疝	经由腹股沟的腹腔内容物的突起。	Protrusion of the contents of the abdominal cavity through the inguinal canal.
HP:0000024	Prostatitis	前列腺炎	前列腺（FMA：9600）出现炎症（MPATH：212）。	The presence of `inflammation` (MPATH:212) of the `prostate` (FMA:9600).
HP:0000025	Functional abnormality of male internal genitalia	男性内生殖器功能异常	#####	#####
HP:0000026	Male hypogonadism	男性性腺功能减退症	男性性腺即睾丸功能减退。	"Decreased functionality" (PATO:0001624) of the male gonad, i.e., of the "testis" (FMA:7210).
HP:0000027	Azoospermia	无精症	精液中检测不到精子。	Absence of any measurable level of sperm in his semen.
HP:0000028	Cryptorchidism	隐睾	阴囊内一侧或双侧睾丸缺如，是由于睾丸未通过腹股沟管下降到阴囊。	Absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the testis.
HP:0000029	Testicular atrophy	睾丸萎缩	睾丸萎缩表现为体积减小和潜在的生育能力丧失。	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.
HP:0000030	Testicular gonadoblastoma	睾丸性腺母细胞瘤	睾丸部位形成的性腺母细胞瘤。	The presence of a `gonadoblastoma` (MPATH:315) of the `testis` (FMA:7210).
HP:0000031	Epididymitis	附睾炎	附睾发生的炎症 。	The presence of `inflammation` (MPATH:212) of the `epididymis` (FMA:18255).
HP:0000032	Abnormality of male external genitalia	男性外生殖器异常	男性外生殖器的异常。	An abnormality of `male external genitalia` (FMA:45642).
HP:0000033	Ambiguous genitalia, male	男性外阴性别不明	遗传学性别为XY的个体，其外阴性别不明。	`Ambiguous genitalia` (HP:0000062) in an individual with XY genetic gender.
HP:0000034	Hydrocele testis	睾丸鞘膜积液	睾丸鞘膜层之间积聚透明液体。	Accumulation of clear fluid in the  between the layers of membrane (tunica vaginalis) surrounding the testis.
HP:0000035	Abnormality of the testis	睾丸异常	睾丸（男性性腺）的异常。	An anomaly of the testicle (the male gonad).
HP:0000036	Abnormality of the penis	阴茎异常	#####	#####
HP:0000037	Male pseudohermaphroditism	男性假两性畸形	两性畸形是指性腺的形态和外生殖器不吻合。男性假两性畸形的染色体核型为男性（XY），但外生殖器呈不完全男性化、模棱两可或完全女性化。如果有性腺，则是睾丸。	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.
HP:0000039	Epispadias	尿道上裂	尿道口开口异常，开口在阴茎背侧（上面）。	Displacement of the urethral opening on the dorsal (superior) surface of the penis.
HP:0000040	Enlarged penis	阴茎增大	#####	#####
HP:0000041	Chordee	阴茎下曲	阴茎头向下弯曲。	A condition in which the head of the penis curves downward.
HP:0000042	Absent external genitalia	外生殖器缺如	男性或女性无外生殖器。	Lack of external genitalia in a male or female individual.
HP:0000044	Hypogonadotrophic hypogonadism	低促性腺激素性性腺功能减退症	低促性腺激素性性腺功能减退症以性腺（男性的睾丸，女性的卵巢）功能降低为特征，是垂体促性腺激素缺乏所致，如卵泡刺激素（FSH）和促黄体生成激素（LH）。	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).
HP:0000045	Abnormality of the scrotum	阴囊异常	#####	#####
